NAME                                                   READY   STATUS    RESTARTS   AGE
consumer-controlplane-6f5986cd67-b7qbg                 true    Running   0          2026-04-26T10:19:30Z
consumer-dataplane-685b85f876-lzb78                    true    Running   0          2026-04-26T10:19:38Z
consumer-identityhub-76885d44cd-vflgf                  true    Running   0          2026-04-26T10:19:23Z
consumer-postgres-d76d7fbdb-zz9dm                      true    Running   0          2026-04-26T10:17:27Z
consumer-vault-0                                       true    Running   0          2026-04-26T10:17:32Z
dataspace-issuer-server-65b999ff84-d4dvc               true    Running   0          2026-04-26T10:17:27Z
dataspace-issuer-service-6f646c7b69-84m7b              true    Running   0          2026-04-26T10:18:13Z
hku-controlplane-7f88857cfc-bn6hl                      true    Running   0          2026-04-26T10:43:04Z
hku-dataplane-68b94f6888-fhcsh                         true    Running   0          2026-04-26T10:43:11Z
hku-identityhub-546b64b8d4-j8x6v                       true    Running   0          2026-04-26T10:42:56Z
hku-postgres-cf685ddbd-28w4s                           true    Running   0          2026-04-26T10:42:48Z
hku-vault-0                                            true    Running   0          2026-04-26T10:42:54Z
issuer-postgres-6cfc666468-pxmhs                       true    Running   0          2026-04-26T10:17:27Z
provider-catalog-server-849b966ccf-jdwz6               true    Running   0          2026-04-26T10:19:30Z
provider-identityhub-7fbd844df9-rcgc9                  true    Running   0          2026-04-26T10:19:23Z
provider-manufacturing-controlplane-66959fbfcc-9kt6c   true    Running   0          2026-04-26T10:19:30Z
provider-manufacturing-dataplane-6f4988b59d-c827h      true    Running   0          2026-04-26T10:19:38Z
provider-postgres-6b686b8d74-jlpbg                     true    Running   0          2026-04-26T10:17:27Z
provider-qna-controlplane-5745448d57-6596c             true    Running   0          2026-04-26T10:19:30Z
provider-qna-dataplane-69bd676878-b5297                true    Running   0          2026-04-26T10:19:38Z
provider-vault-0                                       true    Running   0          2026-04-26T10:17:33Z
